Assembly Accession,Organism Name,Assembly Name,Assembly Stats Number of Contigs,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Annotation Release Date,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Assembly Stats GC Percent,Annotation BUSCO Complete,Annotation BUSCO Single Copy,Annotation BUSCO Duplicated,Annotation BUSCO Fragmented,Annotation BUSCO Missing,Annotation BUSCO Lineage,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCA_050575225.1,Plasmodium simium,Ps_SaoPaulo,1784,5859,,,,,,Sao_Paulo,,,,22001594,14,Chromosome,27/05/2025,JBNEQD01,40975,1957504,104,45.5,,,,,,,Oxford Nanopore MinION,LSHTM,PRJNA1244738,SAMN47722033,,,,,,,
GCA_001602025.1,Plasmodium gaboni,ASM160202v1,2502,647221,,,SY75,,,,,Annotation submitted by UPENNBL,08/04/2016,20356150,14,Chromosome,08/04/2016,LVLB01,17511,1372096,832,18,,,,,,,Illumina MiSeq,UPENNBL,PRJNA295394,SAMN04053639,5431,5198,88,,,,
GCA_900090045.1,Plasmodium malariae,PmUG01,61,5858,,,,,,,,Annotation submitted by WTSI,23/09/2016,33577742,14,Chromosome,13/12/2016,FLRL01,2312277,2312277,61,24.5,,,,,,,PacBio,WTSI,PRJEB14392,SAMEA3923181,6690,5930,643,,,,
GCA_900002335.2,Plasmodium chabaudi chabaudi,GCA_900002335,14,31271,,,AS,,,,,Annotation submitted by WTSI,17/09/2019,18938342,14,Complete Genome,04/06/2019,,1632254,1632254,14,23.5,,,,,,,,WTSI,PRJEB5711,SAMEA768774,5375,5199,22,,,,
GCA_900632045.1,Plasmodium falciparum,PfDd2-3,14,5833,,,,,,,,,,22641838,14,Complete Genome,11/12/2018,,1661861,1661861,14,19,,,,,,,"PacBio, SLX",SC,PRJEB8808,SAMEA3207711,,,,,,,
GCA_032713075.1,Plasmodium falciparum 3D7,ASM3271307v1,14,36329,,,,,,3D7,,,,23195204,14,Complete Genome,16/10/2023,,1716863,1716863,14,19.5,,,,,,,Oxford Nanopore PromethION,Armed Forces Biomedical Research Institute,PRJNA987860,SAMN36493565,,,,,,,
GCA_000002765.3,Plasmodium falciparum 3D7,GCA_000002765,14,36329,,,,,,3D7,,Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium,22/10/2019,23292622,14,Complete Genome,22/10/2019,,1687656,1687656,14,19.5,,,,,,,SLX,Plasmodium falciparum Genome Sequencing Consortium,PRJNA13173,SAMN00102897,5797,5387,158,,,,
GCA_020844765.3,Plasmodium yoelii yoelii,17XNL_PSU_2,14,73239,,,17XNL clone 1.1,,,,,Annotation submitted by Pennsylvania State University,17/02/2023,23044347,14,Complete Genome,23/01/2023,,2046261,2046261,14,21.5,,,,,,,PacBio Sequel,Pennsylvania State University,PRJNA769959,SAMN22184127,6054,5971,,,,,
GCA_903994235.1,Plasmodium vinckei petteri,PVPCR_v1,14,138298,,,,,,,,Annotation submitted by KAUST,06/08/2020,19391540,14,Chromosome,06/08/2020,,1793992,1793992,14,23,,,,,,,SMRT sequencing,KAUST,PRJEB19355,SAMEA7130171,5377,5280,36,,,,
GCA_903994205.1,Plasmodium vinckei brucechwatti,PVBDA_v1,14,119398,,,,,,,,Annotation submitted by KAUST,06/08/2020,19171439,14,Chromosome,06/08/2020,,1774200,1774200,14,23,,,,,,,SMRT sequencing,KAUST,PRJEB19355,SAMEA7128593,5332,5225,40,,,,
GCA_032712205.1,Plasmodium falciparum,ASM3271220v1,26,5833,,,W2,,,,,,,21671845,14,Chromosome,16/10/2023,,1528816,1528816,14,19,,,,,,,Oxford Nanopore PromethION,Armed Forces Biomedical Research Institute,PRJNA987860,SAMN36493566,,,,,,,
GCA_024442135.1,Plasmodium falciparum,ASM2444213v1,25089,5833,,,,,,Jr-01,,,,23308426,14,Chromosome,26/07/2022,,1419,1688977,14,19,,,,,,,Illumina NextSeq,LRU-Jericho,PRJNA859271,SAMN29774748,,,,,,,
GCA_001715585.1,Plasmodium falciparum 3D7,ASM171558v1,5987,36329,,,,,,,,,,23259005,14,Chromosome,29/08/2016,,20901,1687134,14,19,,,,,,,Illumina NextSeq,Jawaharlal Nehru University,PRJNA339193,SAMN05582950,,,,,,,
GCA_900162085.1,Plasmodium knowlesi,PkA1H1_v1,156,5850,,,,,,,,,,24311210,16,Chromosome,19/09/2017,,384652,2195390,16,38.5,,,,,,,PacBio RS-II and Illumina HiSeq,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PRJEB19298,SAMEA78476668,,,,,,,
GCA_903994225.1,Plasmodium vinckei lentum,PVLDE_v1,21,138297,,,,,,,,Annotation submitted by KAUST,06/08/2020,19306970,14,Chromosome,06/08/2020,,1532148,1766649,14,23.5,,,,,,,SMRT sequencing,KAUST,PRJEB19355,SAMEA7129637,5351,5247,29,,,,
GCA_903994265.1,Plasmodium vinckei,PVSEL_v1,25,5860,,,,,,,,Annotation submitted by KAUST,06/08/2020,19498479,14,Chromosome,06/08/2020,,1199642,1799994,14,23,,,,,,,SMRT sequencing,KAUST,PRJEB19355,SAMEA7130172,5386,5282,36,,,,
GCA_900257145.2,Plasmodium sp. DRC-Itaito,Plasmodium billcollinsi,229,720590,,,,,,,,Annotation submitted by WTSI,28/06/2020,21914523,14,Chromosome,28/06/2020,,200512,1627923,14,19,,,,,,,PACBIO,WTSI,PRJEB13584,SAMEA104452070,5198,4969,100,,,,
GCA_900631995.1,Plasmodium falciparum,PfGN01-3,17,5833,,,,,,,,,,23672855,14,Chromosome,11/12/2018,UZWJ01,1701451,1701451,17,19.5,,,,,,,,SC,PRJEB8808,SAMEA3403284,,,,,,,
GCA_900617135.1,Plasmodium falciparum,PfCD01-2,19,5833,,,,,,,,,,23545947,14,Chromosome,05/12/2018,UYFT01,1680329,1680329,19,19.5,,,,,,,"PacBio, SLX",SC,PRJEB8808,SAMEA3499839,,,,,,,
GCA_900632005.1,Plasmodium falciparum,PfGA01-3,18,5833,,,,,,,,,,23089490,14,Chromosome,11/12/2018,UZWK01,1671281,1671281,18,19.5,,,,,,,,SC,PRJEB8808,SAMEA3403285,,,,,,,
GCA_900632095.1,Plasmodium falciparum,PfSD01-3,18,5833,,,,,,,,,,22709431,13,Chromosome,11/12/2018,UZWP01,1650546,1823838,17,19,,,,,,,,SC,PRJEB8808,SAMEA3448425,,,,,,,
GCA_900632015.1,Plasmodium falciparum,PfKH02-3,20,5833,,,KH2,,,,,,,23068186,14,Chromosome,11/12/2018,UZWF01,1635582,1635582,19,19.5,,,,,,,,SC,PRJEB8808,SAMEA3309819,,,,,,,
GCA_900631975.1,Plasmodium falciparum,PfKE01-3,19,5833,,,,,,,,,,22736618,14,Chromosome,11/12/2018,UZWI01,1627361,1627361,19,19.5,,,,,,,,SC,PRJEB8808,SAMEA2697755,,,,,,,
GCA_900632025.1,Plasmodium falciparum,PfKH01-3,20,5833,,,KH1,,,,,,,23225979,14,Chromosome,11/12/2018,UZWM01,1620677,1620677,20,19.5,,,,,,,,SC,PRJEB8808,SAMEA3359304,,,,,,,
GCA_900631985.1,Plasmodium falciparum,PfHB3-3,26,5833,,,,,,HB3,,,,22771623,14,Chromosome,11/12/2018,UZWH01,1593931,1593931,26,19,,,,,,,,SC,PRJEB8808,SAMEA3359303,,,,,,,
GCA_900632055.1,Plasmodium falciparum,PfIT-3,25,5833,,,type strain: I,,,,,,,23123850,14,Chromosome,11/12/2018,UZWG01,1587719,1587719,25,19.5,,,,,,,,SC,PRJEB8808,SAMEA2602749,,,,,,,
GCA_900632035.1,Plasmodium falciparum,PfGB4-3,29,5833,,,GB4,,,,,,,23436708,14,Chromosome,11/12/2018,UZWL01,1481909,1565165,24,19.5,,,,,,,,SC,PRJEB8808,SAMEA3309817,,,,,,,
GCA_900632065.1,Plasmodium falciparum,PfTG01-3,81,5833,,,,,,,,,,25900321,14,Chromosome,11/12/2018,UZWO01,1481151,1483156,77,20,,,,,,,,SC,PRJEB8808,SAMEA3448424,,,,,,,
GCA_900632085.1,Plasmodium falciparum,PfML01-3,120,5833,,,,,,,,,,25622360,14,Chromosome,11/12/2018,UZWQ01,1442343,1487517,115,19.5,,,,,,,,SC,PRJEB8808,SAMEA3460432,,,,,,,
GCA_019802425.2,Plasmodium falciparum,PfCO01_corrected_assembly,27,5833,,,CO01,,,,,,,22613301,13,Chromosome,07/07/2023,JAGDYF02,1433658,1935926,16,19,,,,,,,PacBio RSII; Illumina,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN-CSIC),PRJNA714074,SAMN18287200,,,,,,,
GCA_019802405.2,Plasmodium falciparum,PfCO01_seq,32,5833,,,CO01,,,,,,,22635008,14,Chromosome,20/06/2023,JAGDYG02,1407011,1560912,16,19,,,,,,,PacBio Sequel; Illumina,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN-CSIC),PRJNA757237,SAMN18287200,,,,,,,
GCA_019802415.2,Plasmodium falciparum,Pf2004,28,5833,,,2004,,,,,,,23268073,14,Chromosome,23/05/2023,JAGEUP02,1405026,1659056,16,19.5,,,,,,,PacBio RSII; Illumina,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN-CSIC),PRJNA714074,SAMN18287202,,,,,,,
GCA_900632075.1,Plasmodium falciparum,PfSN01-3,41,5833,,,,,,,,,,23450349,14,Chromosome,11/12/2018,UZWN01,1375669,1632330,34,19.5,,,,,,,,SC,PRJEB8808,SAMEA3184325,,,,,,,
GCA_019802515.2,Plasmodium falciparum,PfKE07,256,5833,,,KE07,,,,,,,21789544,14,Chromosome,16/05/2023,JAGDYH02,134522,1510488,73,19,,,,,,,PacBio RSII; Illumina,Instituto de Parasitologia y Biomedicina Lopez-Neyra (IPBLN-CSIC),PRJNA714074,SAMN18287199,,,,,,,
GCA_900093555.2,Plasmodium vivax,GCA_900093555,662,5855,,,,,,,,Annotation submitted by WTSI,01/08/2019,29040213,16,Chromosome,01/08/2019,FLZR02,447917,1761288,242,40,,,,,,,SLX,WTSI,PRJEB14589,SAMEA2142821,6838,6519,164,,,,
GCA_900093545.1,Plasmodium vivax,PvT01,549,5855,,,,,,,,Annotation submitted by WTSI,07/10/2016,28995317,14,Chromosome,18/11/2016,FLYH01,370142,1562840,374,39.5,,,,,,,Illumina,WTSI,PRJEB14589,SAMEA2155844,6546,6077,387,,,,
GCA_900093535.1,Plasmodium vivax,PvC01,677,5855,,,,,,,,Annotation submitted by WTSI,23/12/2016,30214966,14,Chromosome,23/12/2016,FLYI01,171482,1585108,425,39,,,,,,,Illumina,WTSI,PRJEB14589,SAMEA2376790,6769,6285,405,,,,
GCA_900178095.1,Plasmodium vivax,PvHMP-013,719,5855,,,,,,,,,,30971363,14,Chromosome,12/02/2019,FXBI01,132088,1623442,478,39,,,,,,,SLX,SC,PRJEB19296,SAMEA99657418,,,,,,,
GCA_014843675.1,Plasmodium vivax,ASM1484367v1,1958,5855,,,,,,NB45,,,,29981164,14,Chromosome,07/10/2020,JACYCG01,35402,1525894,648,39,,,,,,,Illumina,University South Florida,PRJNA603279,SAMN13927289,,,,,,,
GCA_014843935.1,Plasmodium vivax,ASM1484393v1,1843,5855,,,,,,LZCH1886,,,,29447970,14,Chromosome,07/10/2020,JACYCI01,33568,1615441,530,39.5,,,,,,,Illumina,University South Florida,PRJNA603279,SAMN13927287,,,,,,,
GCA_014843685.1,Plasmodium vivax,ASM1484368v1,1842,5855,,,,,,LZCH1476,,,,29804011,14,Chromosome,07/10/2020,JACYCH01,33190,1633238,550,39.5,,,,,,,Illumina,University South Florida,PRJNA603279,SAMN13927274,,,,,,,
GCA_014843945.1,Plasmodium vivax,ASM1484394v1,1864,5855,,,,,,LZCH1720,,,,29766561,14,Chromosome,07/10/2020,JACYCJ01,31907,1619496,550,39.5,,,,,,,Illumina,University South Florida,PRJNA603279,SAMN13927281,,,,,,,
GCA_900044335.1,Plasmodium berghei,PbK173,559,5821,,,K173,,,,,Annotation submitted by SC,10/02/2016,18811223,14,Chromosome,18/02/2016,FFUQ01,575007,1633590,478,22,,,,,,,Illumina GAIIx,SC,PRJEB11993,SAMEA666351,5265,5103,71,,,,
GCA_900095585.1,Plasmodium berghei,PbSP11RLL,351,5821,,,SP11 RLL,,,,,Annotation submitted by WTSI,23/11/2016,18271438,14,Chromosome,23/11/2016,FMIH01,322051,1585835,267,22,,,,,,,Illumina HiSeq 2000,WTSI,PRJEB11993,SAMEA1323895,5108,4897,89,,,,
GCA_900095545.1,Plasmodium berghei,PBNK65NY,403,5821,,,NK65 ny,,,,,Annotation submitted by WTSI,02/09/2016,18385378,14,Chromosome,13/07/2020,FMIE01,256723,1581577,302,22,,,,,,,,WTSI,PRJEB11993,SAMEA1323892,5116,4876,116,,,,
GCA_900095635.1,Plasmodium berghei,PbSP11A,426,5821,,,SP11 Antwerpcl1,,,,,Annotation submitted by WTSI,23/11/2016,18371335,14,Chromosome,23/11/2016,FMII01,254160,1575628,322,22,,,,,,,Illumina HiSeq 2000,WTSI,PRJEB11993,SAMEA1323894,5126,4885,120,,,,
GCA_900088445.1,Plasmodium berghei,PbNK65E,452,5821,,,NK65e,,,,,Annotation submitted by WTSI,10/09/2016,18434709,14,Chromosome,22/11/2016,FLVA01,227024,1583086,308,22,,,,,,,Illumina HiSeq 2000,WTSI,PRJEB11993,SAMEA1323893,5167,4914,119,,,,
GCA_900617875.1,Plasmodium yoelii,Pyy33X-2,2486,5861,,,33X,,,,,,,22457976,14,Chromosome,05/12/2018,UYIC01,320390,1740685,2303,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712525,,,,,,,
GCA_900617865.1,Plasmodium yoelii,Pyy2CL-2,3092,5861,,,2CL,,,,,,,22722262,14,Chromosome,05/12/2018,UYIB01,288193,1715339,2915,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712518,,,,,,,
GCA_900617885.1,Plasmodium yoelii,Pyy3AE-2,3530,5861,,,3AE,,,,,,,22809207,14,Chromosome,05/12/2018,UYID01,161462,1710504,3182,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712522,,,,,,,
GCA_900617855.1,Plasmodium yoelii,Pyy1AR-2,2837,5861,,,1AR,,,,,,,22459875,14,Chromosome,05/12/2018,UYIA01,125934,1790781,2475,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712521,,,,,,,
GCA_900617845.1,Plasmodium yoelii,Pyy1.1-2,2660,5861,,,1.1,,,,,,,22276532,14,Chromosome,05/12/2018,UYHZ01,125410,1717269,2308,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712526,,,,,,,
GCA_900002395.1,Plasmodium yoelii,PYYM01,1923,5861,,,,,,YM,,Annotation submitted by SC,20/11/2015,21995434,14,Chromosome,27/08/2014,,34262,1760775,195,21.5,,,,,,,Illumina and 454,SC,PRJEB5705,SAMEA655836,5832,5654,54,,,,
GCA_043381365.1,Plasmodium yoelii nigeriensis,ASM4338136v1,20,31274,,,N67C,,,,,,,22383243,14,Chromosome,21/10/2024,JBEIVP01,1918231,2021762,16,22,,,,,,,PacBio Sequel,National Institute of Allergy and Infectious Diseases,PRJNA694977,SAMN41801231,,,,,,,
GCA_043381415.1,Plasmodium yoelii nigeriensis,ASM4338141v1,336,31274,,,N67,,,,,,,22551909,14,Chromosome,21/10/2024,JBFRWA01,221583,1926575,135,22,,,,,,,PacBio Sequel,National Institute of Allergy and Infectious Diseases,PRJNA694977,SAMN41801232,,,,,,,
GCA_900617835.1,Plasmodium yoelii killicki,Pyk193L-2,2618,283801,,,193L,,,,,,,23528151,14,Chromosome,05/12/2018,UYHX01,273821,1705526,2432,21.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712527,,,,,,,
GCA_900617825.1,Plasmodium yoelii killicki,Pvk194ZZ-2,652,283801,,,194ZZ,,,,,,,19878297,14,Chromosome,05/12/2018,UYHW01,253935,1713637,533,23,,,,,,,SLX,SC,PRJEB1062,SAMEA1712519,,,,,,,
GCA_023845535.1,Plasmodium knowlesi,PKCLINC048,97,5850,,,sks048,,,,,,,24811993,14,Chromosome,22/06/2022,JALBGS01,558582,2207148,47,39,,,,,,,Oxford Nanopore MinION,University of St Andrews,PRJNA799698,SAMN25207256,,,,,,,
GCA_023845515.1,Plasmodium knowlesi,StPkA1H1,136,5850,,,PkA1-H.1,,,,,,,24311409,14,Chromosome,22/06/2022,JALBGQ01,526591,2132014,73,39,,,,,,,Oxford Nanopore MinION,University of St Andrews,PRJNA799698,SAMN25207254,,,,,,,
GCA_023845545.1,Plasmodium knowlesi,PKCLINC047,122,5850,,,sks047,,,,,,,24171523,14,Chromosome,22/06/2022,JALBGR01,479794,2085900,62,39,,,,,,,Oxford Nanopore MinION,University of St Andrews,PRJNA799698,SAMN25207255,,,,,,,
GCA_900095555.1,Plasmodium chabaudi chabaudi,PchAJ,693,31271,,,AJ,,,,,Annotation submitted by WTSI,02/09/2016,18834874,14,Chromosome,13/07/2020,FMIL01,156640,1582197,474,23.5,,,,,,,Illumina GAII,WTSI,PRJEB11993,SAMEA858189,5329,4949,256,,,,
GCA_900095605.1,Plasmodium chabaudi chabaudi,PchCB,732,31271,,,CB,,,,,Annotation submitted by WTSI,23/11/2016,18919436,14,Chromosome,23/11/2016,FMIM01,106147,1559237,444,23.5,,,,,,,Illumina GAIIx,WTSI,PRJEB11993,SAMEA858185,5421,5226,70,,,,
GCA_900095565.1,Plasmodium chabaudi adami,PchDK,779,5826,,,DK,,,,,Annotation submitted by WTSI,23/11/2016,19350400,14,Chromosome,23/11/2016,FMIO01,304913,1335007,661,23.5,,,,,,,Illumina GAIIx,WTSI,PRJEB11993,SAMEA858183,5611,5378,106,,,,
GCA_900095625.1,Plasmodium chabaudi adami,PchDS,886,5826,,,DS,,,,,Annotation submitted by WTSI,02/09/2016,19582753,14,Chromosome,13/07/2020,FMIN01,131439,1306843,604,23.5,,,,,,,Illumina GAIIx,WTSI,PRJEB11993,SAMEA858181,5622,5398,103,,,,
GCA_900097025.1,Plasmodium reichenowi,PRG01,52,5854,,,,,,,,Annotation submitted by WTSI,27/03/2018,24471701,14,Chromosome,27/03/2018,OFAE01,1513307,1578783,48,19.5,,,,,,,"PacBio, Illumina",WTSI,PRJEB13584,SAMEA2711196,5909,5640,101,,,,
GCA_036584725.1,Plasmodium gonderi,Pgonderi_v2_iGEM,77,77519,,,,,,L003,,,,36181913,14,Chromosome,22/02/2024,JARBEB01,1527220,2112507,70,26.5,,,,,,,Illumina HiSeq,Temple University,PRJNA928704,SAMN33193448,,,,,,,
GCA_900180395.1,Plasmodium cynomolgi,PcyM,54,5827,,,M,,,,,,,30617074,14,Chromosome,27/04/2017,FXLJ01,1715570,1715570,54,37.5,,,,,,,"PacBio,SLX",SC,PRJEB2243,SAMEA695046,,,,,,,
GCA_900097045.1,Plasmodium gaboni,PGABG01,107,647221,,,,,,,,"Annotation submitted by Wellcome Trust Sanger Institute, Wellcome Genome Campus",25/04/2022,21376081,14,Chromosome,22/09/2021,FMKD01,1197577,1384258,96,18.5,,,,,,,"PacBio, Illumina","Wellcome Trust Sanger Institute, Wellcome Genome Campus",PRJEB13584,SAMEA2797515,5368,5130,92,,,,
GCA_900617785.1,Plasmodium vinckei petteri,Pch2CR-2,759,138298,,,CR,,,,,,,19262983,14,Chromosome,05/12/2018,UYHT01,1161414,1660175,720,23.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712524,,,,,,,
GCA_900617805.1,Plasmodium vinckei vinckei,PchV52-2,650,54757,,,V52,,,,,,,19254507,14,Chromosome,05/12/2018,UYHU01,803568,1657787,609,23.5,,,,,,,SLX,SC,PRJEB1062,SAMEA1712523,,,,,,,
GCA_000725905.1,Plasmodium coatneyi,ASM72590v1,662,208452,,,Hackeri,,,,,,,27817468,14,Chromosome,21/07/2014,JFFQ01,130503,2014888,158,39.5,,,,,,,Illumina MiSeq,NHGRI,PRJNA233970,SAMN02595587,,,,,,,
GCA_900617815.1,Plasmodium vinckei brucechwatti,Pvb1-69-2,1064,119398,,,Jan-69,,,,,,,19865340,14,Chromosome,05/12/2018,UYHV01,775946,1693625,1015,23,,,,,,,SLX,SC,PRJEB1062,SAMEA1712520,,,,,,,
GCA_900097015.1,Plasmodium sp. gorilla clade G2,PADLG01,87,880535,,,,,,,,Annotation submitted by WTSI,27/03/2018,22190694,14,Chromosome,27/03/2018,OEYY01,1277522,1315841,82,18.5,,,,,,,"PacBio, Illumina",WTSI,PRJEB13584,SAMEA2797513,5566,5321,93,,,,
GCA_900240055.1,Plasmodium sp. DRC-Itaito,PGABG02,74,720590,,,,,,,,Annotation submitted by WTSI,27/03/2018,20934218,14,Chromosome,27/03/2018,OEYZ01,668542,1487082,44,18.5,,,,,,,"PacBio, Illumina",WTSI,PRJEB13584,SAMEA2797520,5301,5090,65,,,,
GCA_900095595.1,Plasmodium sp. gorilla clade G1,PPRFG01,123,880534,,,,,,,,Annotation submitted by WTSI,27/03/2018,24982595,14,Chromosome,27/03/2018,FMIP01,559853,1531866,53,19.5,,,,,,,"PacBio, Illumina",WTSI,PRJEB13584,SAMEA2711195,6201,5887,148,,,,
GCA_900097035.1,Plasmodium sp. gorilla clade G3,PBLACG01,283,880536,,,,,,,,Annotation submitted by WTSI,27/03/2018,21840003,14,Chromosome,27/03/2018,FMKE01,193202,1355523,97,18.5,,,,,,,"PacBio, Illumina",WTSI,PRJEB13584,SAMEA3469516,5382,5097,134,,,,
GCA_900090035.2,Plasmodium ovale,PocGH01,1534,36330,,,PocGH01,,,,,Annotation submitted by WTSI,16/11/2018,33451205,14,Chromosome,13/12/2016,FLRI01,38674,1039375,652,28.5,,,,,,,Illumina,WTSI,PRJEB14392,SAMEA680296,7271,6647,515,,,,
GCA_900090025.2,Plasmodium ovale,PowCR01,1978,36330,,,PowCR01,,,,,Annotation submitted by WTSI,26/06/2018,33492878,14,Chromosome,22/11/2016,FLRJ01,30533,990241,777,29.5,,,,,,,Illumina,WTSI,PRJEB14392,SAMEA2394724,7047,6228,715,,,,
GCA_900090005.1,Plasmodium malariae,PmlGA01,3713,5858,,,PmlGA01,,,,,Annotation submitted by WTSI,16/06/2018,23538473,14,Chromosome,22/11/2016,FLRK01,13538,2065912,49,27,,,,,,,Illumina,WTSI,PRJEB14392,SAMEA2464703,4805,4473,266,,,,
